24.8	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
24.7	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
24.6	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
24.5	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
24.4	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
24.3	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
24.2	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
24.1	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
24.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
23.9	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
23.8	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
23.7	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
23.6	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
23.5	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
23.4	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
23.3	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
23.2	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
23.1	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
23.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
22.9	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
22.8	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
22.7	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
22.6	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
22.5	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
22.4	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
22.3	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
22.2	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
22.1	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
22.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
21.9	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
21.8	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
21.7	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
21.6	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
21.5	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
